Scorecard,Team 1,Team 2,Winner,Margin,Ground,Match Date
ODI # 2048,Pakistan,South Africa,South Africa,13 runs,Faisalabad,07-Oct-03
ODI # 2049,Pakistan,South Africa,South Africa,6 wickets,Rawalpindi,10-Oct-03
ODI # 2050,Pakistan,South Africa,South Africa,7 wickets,Rawalpindi,12-Oct-03
ODI # 2051,India,New Zealand,no result,,Chennai,23-Oct-03
ODI # 2052,India,Australia,India,37 runs,Gwalior,26-Oct-03
ODI # 2053,Australia,New Zealand,Australia,8 wickets,Faridabad,29-Oct-03
ODI # 2054,India,Australia,Australia,77 runs,Mumbai,01-Nov-03
ODI # 2055,Australia,New Zealand,Australia,2 wickets,Pune,03-Nov-03
ODI # 2056,India,New Zealand,New Zealand,4 wickets,Cuttack,06-Nov-03
ODI # 2057,Bangladesh,England,England,7 wickets,Chittagong,07-Nov-03
ODI # 2058,Australia,New Zealand,Australia,44 runs,Guwahati,09-Nov-03
ODI # 2059,Bangladesh,England,England,7 wickets,Dhaka,10-Nov-03
ODI # 2060,Bangladesh,England,England,7 wickets,Dhaka,12-Nov-03
ODI # 2061,India,Australia,Australia,61 runs,Bengaluru,12-Nov-03
ODI # 2062,India,New Zealand,India,145 runs,Hyderabad (Deccan),15-Nov-03
ODI # 2063,Sri Lanka,England,Sri Lanka,10 wickets,Dambulla,18-Nov-03
ODI # 2064,India,Australia,Australia,37 runs,Kolkata,18-Nov-03
ODI # 2065,Zimbabwe,West Indies,West Indies,51 runs,Bulawayo,22-Nov-03
ODI # 2066,Zimbabwe,West Indies,Zimbabwe,6 wickets,Bulawayo,23-Nov-03
ODI # 2067,Zimbabwe,West Indies,Zimbabwe,21 runs,Harare,26-Nov-03
ODI # 2069,Zimbabwe,West Indies,West Indies,72 runs,Harare,29-Nov-03
ODI # 2068,Pakistan,New Zealand,Pakistan,3 wickets,Lahore,29-Nov-03
ODI # 2070,Zimbabwe,West Indies,West Indies,8 wickets,Harare,30-Nov-03
ODI # 2071,Pakistan,New Zealand,Pakistan,124 runs,Lahore,01-Dec-03
ODI # 2072,Pakistan,New Zealand,Pakistan,51 runs,Faisalabad,03-Dec-03
ODI # 2073,Pakistan,New Zealand,Pakistan,7 wickets,Rawalpindi,05-Dec-03
ODI # 2074,Pakistan,New Zealand,Pakistan,49 runs,Rawalpindi,07-Dec-03
ODI # 2075,New Zealand,Pakistan,New Zealand,4 wickets,Auckland,03-Jan-04
ODI # 2076,New Zealand,Pakistan,Pakistan,6 wickets,Queenstown,07-Jan-04
ODI # 2077,Australia,India,Australia,18 runs,Melbourne,09-Jan-04
ODI # 2078,New Zealand,Pakistan,New Zealand,7 wickets,Christchurch,10-Jan-04
ODI # 2079,Australia,Zimbabwe,Australia,99 runs,Sydney,11-Jan-04
ODI # 2081,New Zealand,Pakistan,New Zealand,8 wickets,Napier,14-Jan-04
ODI # 2080,India,Zimbabwe,India,7 wickets,Hobart,14-Jan-04
ODI # 2082,Australia,Zimbabwe,Australia,148 runs,Hobart,16-Jan-04
ODI # 2083,New Zealand,Pakistan,New Zealand,4 runs,Wellington,17-Jan-04
ODI # 2084,Australia,India,India,19 runs,Brisbane,18-Jan-04
ODI # 2085,India,Zimbabwe,India,24 runs,Brisbane,20-Jan-04
ODI # 2086,Australia,India,Australia,2 wickets,Sydney,22-Jan-04
ODI # 2087,India,Zimbabwe,India,3 runs,Adelaide,24-Jan-04
ODI # 2088,South Africa,West Indies,South Africa,209 runs,Cape Town,25-Jan-04
ODI # 2089,Australia,Zimbabwe,Australia,13 runs,Adelaide,26-Jan-04
ODI # 2090,South Africa,West Indies,South Africa,16 runs,Port Elizabeth,28-Jan-04
ODI # 2091,Australia,Zimbabwe,no result,,Melbourne,29-Jan-04
ODI # 2092,South Africa,West Indies,no result,,Durban,30-Jan-04
ODI # 2093,Australia,India,Australia,5 wickets,Perth,01-Feb-04
ODI # 2094,South Africa,West Indies,West Indies,7 wickets,Centurion,01-Feb-04
ODI # 2095,India,Zimbabwe,India,4 wickets,Perth,03-Feb-04
ODI # 2096,South Africa,West Indies,South Africa,4 wickets,Johannesburg,04-Feb-04
ODI # 2097,Australia,India,Australia,7 wickets,Melbourne,06-Feb-04
ODI # 2098,Australia,India,Australia,208 runs,Sydney,08-Feb-04
ODI # 2099,New Zealand,South Africa,South Africa,5 wickets,Auckland,13-Feb-04
ODI # 2100,New Zealand,South Africa,New Zealand,5 wickets,Christchurch,17-Feb-04
ODI # 2101,New Zealand,South Africa,New Zealand,5 runs,Wellington,20-Feb-04
ODI # 2102,Sri Lanka,Australia,Australia,84 runs,Dambulla,20-Feb-04
ODI # 2103,Sri Lanka,Australia,Sri Lanka,1 run,Dambulla,22-Feb-04
ODI # 2104,New Zealand,South Africa,New Zealand,6 wickets,Dunedin,25-Feb-04
ODI # 2105,Sri Lanka,Australia,Australia,5 wickets,Colombo (RPS),25-Feb-04
ODI # 2106,Sri Lanka,Australia,Australia,40 runs,Colombo (RPS),27-Feb-04
ODI # 2107,New Zealand,South Africa,New Zealand,2 runs,Auckland,29-Feb-04
ODI # 2108,Sri Lanka,Australia,Sri Lanka,3 wickets,Colombo (SSC),29-Feb-04
ODI # 2109,New Zealand,South Africa,New Zealand,5 wickets,Napier,02-Mar-04
ODI # 2110,Zimbabwe,Bangladesh,Bangladesh,8 runs,Harare,10-Mar-04
ODI # 2111,Zimbabwe,Bangladesh,Zimbabwe,14 runs,Harare,12-Mar-04
ODI # 2112,Pakistan,India,India,5 runs,Karachi,13-Mar-04
ODI # 2113,Zimbabwe,Bangladesh,Zimbabwe,3 wickets,Harare,14-Mar-04
ODI # 2114,Pakistan,India,Pakistan,12 runs,Rawalpindi,16-Mar-04
ODI # 2115,Pakistan,India,Pakistan,4 wickets,Peshawar,19-Mar-04
ODI # 2116,Pakistan,India,India,5 wickets,Lahore,21-Mar-04
ODI # 2117,Pakistan,India,India,40 runs,Lahore,24-Mar-04
ODI # 2118,West Indies,England,England,2 wickets,Georgetown,18-Apr-04
ODI # 2119,Zimbabwe,Sri Lanka,Sri Lanka,12 runs,Bulawayo,20-Apr-04
ODI # 2120,Zimbabwe,Sri Lanka,Sri Lanka,9 wickets,Bulawayo,22-Apr-04
ODI # 2121,West Indies,England,no result,,Port of Spain,24-Apr-04
ODI # 2122,Zimbabwe,Sri Lanka,Sri Lanka,9 wickets,Harare,25-Apr-04
ODI # 2123,Zimbabwe,Sri Lanka,Sri Lanka,72 runs,Harare,27-Apr-04
ODI # 2124,Zimbabwe,Sri Lanka,Sri Lanka,25 runs,Harare,29-Apr-04
ODI # 2125,West Indies,England,West Indies,5 wickets,Gros Islet,01-May-04
ODI # 2126,West Indies,England,West Indies,4 wickets,Gros Islet,02-May-04
ODI # 2127,West Indies,England,England,5 wickets,Bridgetown,05-May-04
ODI # 2128,West Indies,Bangladesh,West Indies,1 wicket,Kingstown,15-May-04
ODI # 2129,West Indies,Bangladesh,West Indies,23 runs,Kingstown,16-May-04
ODI # 2130,West Indies,Bangladesh,West Indies,7 wickets,St George's,19-May-04
ODI # 2131,Zimbabwe,Australia,Australia,7 wickets,Harare,25-May-04
ODI # 2132,Zimbabwe,Australia,Australia,139 runs,Harare,27-May-04
ODI # 2133,Zimbabwe,Australia,Australia,8 wickets,Harare,29-May-04
ODI # 2134,New Zealand,West Indies,no result,,Birmingham,26-Jun-04
ODI # 2135,England,West Indies,West Indies,7 wickets,Nottingham,27-Jun-04
ODI # 2136,England,New Zealand,New Zealand,7 wickets,Chester-le-Street,29-Jun-04
ODI # 2137,England,West Indies,England,7 wickets,Leeds,01-Jul-04
ODI # 2138,New Zealand,West Indies,New Zealand,5 wickets,Cardiff,03-Jul-04
ODI # 2139,England,New Zealand,New Zealand,6 wickets,Bristol,04-Jul-04
ODI # 2140,England,West Indies,West Indies,7 wickets,Lord's,06-Jul-04
ODI # 2141,New Zealand,West Indies,no result,,Southampton,08-Jul-04
ODI # 2142,New Zealand,West Indies,New Zealand,107 runs,Lord's,10-Jul-04
ODI # 2143,Bangladesh,Hong Kong,Bangladesh,116 runs,Colombo (SSC),16-Jul-04
ODI # 2144,India,U.A.E.,India,116 runs,Dambulla,16-Jul-04
ODI # 2145,Bangladesh,Pakistan,Pakistan,76 runs,Colombo (SSC),17-Jul-04
ODI # 2146,Sri Lanka,U.A.E.,Sri Lanka,116 runs,Dambulla,17-Jul-04
ODI # 2147,Hong Kong,Pakistan,Pakistan,173 runs,Colombo (SSC),18-Jul-04
ODI # 2148,Sri Lanka,India,Sri Lanka,12 runs,Dambulla,18-Jul-04
ODI # 2149,Bangladesh,India,India,8 wickets,Colombo (SSC),21-Jul-04
ODI # 2150,Sri Lanka,Pakistan,Sri Lanka,7 wickets,Colombo (RPS),21-Jul-04
ODI # 2151,Sri Lanka,Bangladesh,Sri Lanka,10 wickets,Colombo (RPS),23-Jul-04
ODI # 2152,India,Pakistan,Pakistan,59 runs,Colombo (RPS),25-Jul-04
ODI # 2153,Sri Lanka,India,India,4 runs,Colombo (RPS),27-Jul-04
ODI # 2154,Bangladesh,Pakistan,Pakistan,6 wickets,Colombo (RPS),29-Jul-04
ODI # 2155,Sri Lanka,India,Sri Lanka,25 runs,Colombo (RPS),01-Aug-04
ODI # 2156,Sri Lanka,South Africa,Sri Lanka,3 wickets,Colombo (RPS),20-Aug-04
ODI # 2157,India,Pakistan,Pakistan,66 runs,Amstelveen,21-Aug-04
ODI # 2158,Sri Lanka,South Africa,Sri Lanka,37 runs,Colombo (RPS),22-Aug-04
ODI # 2159,Australia,India,no result,,Amstelveen,23-Aug-04
ODI # 2160,Sri Lanka,South Africa,Sri Lanka,4 wickets,Dambulla,25-Aug-04
ODI # 2161,Sri Lanka,South Africa,Sri Lanka,7 wickets,Dambulla,28-Aug-04
ODI # 2162,Australia,Pakistan,Australia,17 runs,Amstelveen,28-Aug-04
ODI # 2163,Sri Lanka,South Africa,Sri Lanka,49 runs,Colombo (SSC),31-Aug-04
ODI # 2164,England,India,England,7 wickets,Nottingham,01-Sep-04
ODI # 2165,England,India,England,70 runs,The Oval,03-Sep-04
ODI # 2166,Australia,Pakistan,Australia,10 runs,Lord's,04-Sep-04
ODI # 2167,England,India,India,23 runs,Lord's,05-Sep-04
ODI # 2168,England,Zimbabwe,England,152 runs,Birmingham,"Sep 10-11, 2004"
ODI # 2169,New Zealand,U.S.A.,New Zealand,210 runs,The Oval,10-Sep-04
ODI # 2170,India,Kenya,India,98 runs,Southampton,11-Sep-04
ODI # 2171,Bangladesh,South Africa,South Africa,9 wickets,Birmingham,12-Sep-04
ODI # 2172,Australia,U.S.A.,Australia,9 wickets,Southampton,13-Sep-04
ODI # 2173,Sri Lanka,Zimbabwe,Sri Lanka,4 wickets,The Oval,14-Sep-04
ODI # 2174,Kenya,Pakistan,Pakistan,7 wickets,Birmingham,"Sep 14-15, 2004"
ODI # 2175,Bangladesh,West Indies,West Indies,138 runs,Southampton,15-Sep-04
ODI # 2176,Australia,New Zealand,Australia,7 wickets,The Oval,16-Sep-04
ODI # 2177,England,Sri Lanka,England,49 runs,Southampton,"Sep 17-18, 2004"
ODI # 2178,South Africa,West Indies,West Indies,5 wickets,The Oval,"Sep 18-19, 2004"
ODI # 2179,India,Pakistan,Pakistan,3 wickets,Birmingham,19-Sep-04
ODI # 2180,England,Australia,England,6 wickets,Birmingham,21-Sep-04
ODI # 2181,Pakistan,West Indies,West Indies,7 wickets,Southampton,22-Sep-04
ODI # 2182,England,West Indies,West Indies,2 wickets,The Oval,25-Sep-04
ODI # 2183,Pakistan,Zimbabwe,Pakistan,144 runs,Multan,30-Sep-04
ODI # 2184,Pakistan,Zimbabwe,Pakistan,3 wickets,Peshawar,03-Oct-04
ODI # 2185,Pakistan,Sri Lanka,Pakistan,8 wickets,Karachi,06-Oct-04
ODI # 2186,Sri Lanka,Zimbabwe,Sri Lanka,7 wickets,Rawalpindi,09-Oct-04
ODI # 2187,Pakistan,Sri Lanka,Pakistan,6 wickets,Lahore,14-Oct-04
ODI # 2188,Pakistan,Sri Lanka,Sri Lanka,119 runs,Lahore,16-Oct-04
ODI # 2189,Bangladesh,New Zealand,New Zealand,138 runs,Chittagong,02-Nov-04
ODI # 2190,Bangladesh,New Zealand,New Zealand,3 wickets,Dhaka,05-Nov-04
ODI # 2191,Bangladesh,New Zealand,New Zealand,83 runs,Dhaka,07-Nov-04
ODI # 2192,India,Pakistan,Pakistan,6 wickets,Kolkata,13-Nov-04
ODI # 2193,Zimbabwe,England,England,5 wickets,Harare,28-Nov-04
ODI # 2194,Zimbabwe,England,England,161 runs,Harare,01-Dec-04
ODI # 2195,Zimbabwe,England,England,8 wickets,Bulawayo,04-Dec-04
ODI # 2196,Australia,New Zealand,New Zealand,4 wickets,Melbourne (Docklands),05-Dec-04
ODI # 2197,Zimbabwe,England,England,74 runs,Bulawayo,05-Dec-04
ODI # 2198,Australia,New Zealand,Australia,17 runs,Sydney,08-Dec-04
ODI # 2199,Bangladesh,India,India,11 runs,Chittagong,23-Dec-04
ODI # 2200,New Zealand,Sri Lanka,New Zealand,7 wickets,Auckland,26-Dec-04
ODI # 2201,Bangladesh,India,Bangladesh,15 runs,Dhaka,26-Dec-04
ODI # 2202,Bangladesh,India,India,91 runs,Dhaka,27-Dec-04
ODI # 2203,Asia XI,ICC World XI,ICC World XI,112 runs,Melbourne,10-Jan-05
ODI # 2204,Australia,West Indies,Australia,116 runs,Melbourne,14-Jan-05
ODI # 2205,Australia,Pakistan,Australia,4 wickets,Hobart,16-Jan-05
ODI # 2206,Pakistan,West Indies,Pakistan,6 wickets,Brisbane,19-Jan-05
ODI # 2207,Bangladesh,Zimbabwe,Zimbabwe,22 runs,Dhaka,20-Jan-05
ODI # 2208,Australia,West Indies,no result,,Brisbane,21-Jan-05
ODI # 2209,Australia,Pakistan,Australia,9 wickets,Sydney,23-Jan-05
ODI # 2210,Bangladesh,Zimbabwe,Zimbabwe,31 runs,Chittagong,24-Jan-05
ODI # 2211,Bangladesh,Zimbabwe,Bangladesh,40 runs,Chittagong,26-Jan-05
ODI # 2212,Australia,West Indies,Australia,73 runs,Adelaide,26-Jan-05
ODI # 2213,Pakistan,West Indies,West Indies,58 runs,Adelaide,28-Jan-05
ODI # 2214,Bangladesh,Zimbabwe,Bangladesh,58 runs,Dhaka,29-Jan-05
ODI # 2215,Australia,Pakistan,Pakistan,3 wickets,Perth,30-Jan-05
ODI # 2216,South Africa,England,England,26 runs,Johannesburg,30-Jan-05
ODI # 2217,Bangladesh,Zimbabwe,Bangladesh,8 wickets,Dhaka,31-Jan-05
ODI # 2218,Pakistan,West Indies,Pakistan,30 runs,Perth,01-Feb-05
ODI # 2219,South Africa,England,tied,,Bloemfontein,02-Feb-05
ODI # 2220,Australia,Pakistan,Australia,18 runs,Melbourne,04-Feb-05
ODI # 2221,South Africa,England,South Africa,3 wickets,Port Elizabeth,04-Feb-05
ODI # 2222,Australia,Pakistan,Australia,31 runs,Sydney,06-Feb-05
ODI # 2223,South Africa,England,South Africa,108 runs,Cape Town,06-Feb-05
ODI # 2224,South Africa,England,South Africa,7 runs,East London,09-Feb-05
ODI # 2225,South Africa,England,no result,,Durban,11-Feb-05
ODI # 2226,South Africa,England,South Africa,3 wickets,Centurion,13-Feb-05
ODI # 2227,New Zealand,Australia,Australia,10 runs,Wellington,19-Feb-05
ODI # 2228,New Zealand,Australia,Australia,106 runs,Christchurch,22-Feb-05
ODI # 2229,South Africa,Zimbabwe,South Africa,165 runs,Johannesburg,25-Feb-05
ODI # 2230,New Zealand,Australia,Australia,86 runs,Auckland,26-Feb-05
ODI # 2231,South Africa,Zimbabwe,South Africa,131 runs,Durban,27-Feb-05
ODI # 2232,New Zealand,Australia,Australia,7 wickets,Wellington,01-Mar-05
ODI # 2233,South Africa,Zimbabwe,South Africa,5 wickets,Port Elizabeth,02-Mar-05
ODI # 2234,New Zealand,Australia,Australia,122 runs,Napier,05-Mar-05
ODI # 2235,India,Pakistan,India,87 runs,Kochi,02-Apr-05
ODI # 2236,India,Pakistan,India,58 runs,Visakhapatnam,05-Apr-05
ODI # 2237,India,Pakistan,Pakistan,106 runs,Jamshedpur,09-Apr-05
ODI # 2238,India,Pakistan,Pakistan,3 wickets,Ahmedabad,12-Apr-05
ODI # 2239,India,Pakistan,Pakistan,5 wickets,Kanpur,15-Apr-05
ODI # 2240,India,Pakistan,Pakistan,159 runs,Delhi,17-Apr-05
ODI # 2241,West Indies,South Africa,South Africa,8 wickets,Kingston,07-May-05
ODI # 2242,West Indies,South Africa,South Africa,8 wickets,Kingston,08-May-05
ODI # 2243,West Indies,South Africa,South Africa,1 run,Bridgetown,11-May-05
ODI # 2244,West Indies,South Africa,South Africa,6 wickets,Port of Spain,14-May-05
ODI # 2245,West Indies,South Africa,South Africa,7 wickets,Port of Spain,15-May-05
ODI # 2246,West Indies,Pakistan,Pakistan,59 runs,Kingstown,18-May-05
ODI # 2247,West Indies,Pakistan,Pakistan,40 runs,Gros Islet,21-May-05
ODI # 2248,West Indies,Pakistan,Pakistan,22 runs,Gros Islet,22-May-05
ODI # 2249,England,Bangladesh,England,10 wickets,The Oval,16-Jun-05
ODI # 2250,Australia,Bangladesh,Bangladesh,5 wickets,Cardiff,18-Jun-05
ODI # 2251,England,Australia,England,3 wickets,Bristol,19-Jun-05
ODI # 2252,England,Bangladesh,England,168 runs,Nottingham,21-Jun-05
ODI # 2253,England,Australia,Australia,57 runs,Chester-le-Street,23-Jun-05
ODI # 2254,Australia,Bangladesh,Australia,10 wickets,Manchester,25-Jun-05
ODI # 2255,England,Bangladesh,England,5 wickets,Leeds,26-Jun-05
ODI # 2256,England,Australia,no result,,Birmingham,28-Jun-05
ODI # 2257,Australia,Bangladesh,Australia,6 wickets,Canterbury,30-Jun-05
ODI # 2258,England,Australia,tied,,Lord's,02-Jul-05
ODI # 2259,England,Australia,England,9 wickets,Leeds,07-Jul-05
ODI # 2260,England,Australia,Australia,7 wickets,Lord's,10-Jul-05
ODI # 2261,England,Australia,Australia,8 wickets,The Oval,12-Jul-05
ODI # 2262,Sri Lanka,India,Sri Lanka,3 wickets,Dambulla,30-Jul-05
ODI # 2263,India,West Indies,India,6 wickets,Dambulla,31-Jul-05
ODI # 2264,Sri Lanka,West Indies,Sri Lanka,50 runs,Dambulla,02-Aug-05
ODI # 2265,Sri Lanka,India,Sri Lanka,4 wickets,Dambulla,03-Aug-05
ODI # 2266,Sri Lanka,West Indies,West Indies,33 runs,Colombo (RPS),06-Aug-05
ODI # 2267,India,West Indies,India,7 runs,Colombo (RPS),07-Aug-05
ODI # 2268,Sri Lanka,India,Sri Lanka,18 runs,Colombo (RPS),09-Aug-05
ODI # 2269,Africa XI,Asia XI,Africa XI,2 runs,Centurion,17-Aug-05
ODI # 2270,Africa XI,Asia XI,Asia XI,17 runs,Durban,20-Aug-05
ODI # 2271,Africa XI,Asia XI,no result,,Durban,21-Aug-05
ODI # 2272,Zimbabwe,New Zealand,New Zealand,192 runs,Bulawayo,24-Aug-05
ODI # 2273,India,New Zealand,New Zealand,51 runs,Bulawayo,26-Aug-05
ODI # 2274,Zimbabwe,India,India,161 runs,Harare,29-Aug-05
ODI # 2275,Sri Lanka,Bangladesh,Sri Lanka,88 runs,Colombo (SSC),31-Aug-05
ODI # 2276,Zimbabwe,New Zealand,New Zealand,27 runs,Harare,31-Aug-05
ODI # 2277,Sri Lanka,Bangladesh,Sri Lanka,75 runs,Colombo (RPS),02-Sep-05
ODI # 2278,India,New Zealand,India,6 wickets,Harare,02-Sep-05
ODI # 2279,Sri Lanka,Bangladesh,Sri Lanka,6 wickets,Colombo (RPS),04-Sep-05
ODI # 2280,Zimbabwe,India,India,4 wickets,Harare,04-Sep-05
ODI # 2281,India,New Zealand,New Zealand,6 wickets,Harare,06-Sep-05
ODI # 2282,Australia,ICC World XI,Australia,93 runs,Melbourne (Docklands),05-Oct-05
ODI # 2283,Australia,ICC World XI,Australia,55 runs,Melbourne (Docklands),07-Oct-05
ODI # 2284,Australia,ICC World XI,Australia,156 runs,Melbourne (Docklands),09-Oct-05
ODI # 2285,South Africa,New Zealand,South Africa,2 wickets,Bloemfontein,23-Oct-05
ODI # 2286,India,Sri Lanka,India,152 runs,Nagpur,25-Oct-05
ODI # 2287,India,Sri Lanka,India,8 wickets,Mohali,28-Oct-05
ODI # 2288,South Africa,New Zealand,South Africa,19 runs,Cape Town,28-Oct-05
ODI # 2289,South Africa,New Zealand,South Africa,4 wickets,Port Elizabeth,30-Oct-05
ODI # 2290,India,Sri Lanka,India,6 wickets,Jaipur,31-Oct-05
ODI # 2291,India,Sri Lanka,India,4 wickets,Pune,03-Nov-05
ODI # 2292,South Africa,New Zealand,no result,,Durban,04-Nov-05
ODI # 2293,South Africa,New Zealand,South Africa,5 wickets,Centurion,06-Nov-05
ODI # 2294,India,Sri Lanka,Sri Lanka,5 wickets,Ahmedabad,06-Nov-05
ODI # 2295,India,Sri Lanka,India,7 wickets,Rajkot,09-Nov-05
ODI # 2296,India,Sri Lanka,India,5 wickets,Vadodara,12-Nov-05
ODI # 2297,India,South Africa,South Africa,5 wickets,Hyderabad (Deccan),16-Nov-05
ODI # 2298,India,South Africa,India,6 wickets,Bengaluru,19-Nov-05
ODI # 2299,India,South Africa,South Africa,10 wickets,Kolkata,25-Nov-05
ODI # 2300,India,South Africa,India,5 wickets,Mumbai,28-Nov-05
ODI # 2301,New Zealand,Australia,Australia,147 runs,Auckland,03-Dec-05
ODI # 2302,New Zealand,Australia,Australia,2 runs,Wellington,07-Dec-05
ODI # 2303,New Zealand,Australia,New Zealand,2 wickets,Christchurch,10-Dec-05
ODI # 2304,Pakistan,England,England,42 runs,Lahore,10-Dec-05
ODI # 2305,Pakistan,England,Pakistan,7 wickets,Lahore,12-Dec-05
ODI # 2306,Pakistan,England,Pakistan,165 runs,Karachi,15-Dec-05
ODI # 2307,Pakistan,England,Pakistan,13 runs,Rawalpindi,19-Dec-05
ODI # 2308,Pakistan,England,England,6 runs,Rawalpindi,21-Dec-05
ODI # 2309,New Zealand,Sri Lanka,New Zealand,7 wickets,Queenstown,31-Dec-05
ODI # 2310,New Zealand,Sri Lanka,New Zealand,5 wickets,Christchurch,03-Jan-06
ODI # 2311,New Zealand,Sri Lanka,New Zealand,21 runs,Wellington,06-Jan-06
ODI # 2312,New Zealand,Sri Lanka,Sri Lanka,20 runs,Napier,08-Jan-06
ODI # 2313,Australia,Sri Lanka,Australia,116 runs,Melbourne (Docklands),13-Jan-06
ODI # 2314,Australia,South Africa,South Africa,5 wickets,Brisbane,15-Jan-06
ODI # 2315,South Africa,Sri Lanka,Sri Lanka,94 runs,Brisbane,17-Jan-06
ODI # 2316,Australia,South Africa,Australia,59 runs,Melbourne (Docklands),20-Jan-06
ODI # 2317,Australia,Sri Lanka,Sri Lanka,51 runs,Sydney,22-Jan-06
ODI # 2318,South Africa,Sri Lanka,South Africa,9 runs,Adelaide,24-Jan-06
ODI # 2319,Australia,Sri Lanka,Australia,5 wickets,Adelaide,26-Jan-06
ODI # 2320,Australia,Sri Lanka,Australia,6 wickets,Perth,29-Jan-06
ODI # 2321,South Africa,Sri Lanka,South Africa,5 wickets,Perth,31-Jan-06
ODI # 2322,Australia,South Africa,Australia,80 runs,Melbourne (Docklands),03-Feb-06
ODI # 2323,Australia,South Africa,Australia,57 runs,Sydney,05-Feb-06
ODI # 2324,Pakistan,India,Pakistan,7 runs,Peshawar,06-Feb-06
ODI # 2325,South Africa,Sri Lanka,Sri Lanka,76 runs,Hobart,07-Feb-06
ODI # 2326,Australia,Sri Lanka,Sri Lanka,22 runs,Adelaide,10-Feb-06
ODI # 2327,Pakistan,India,India,7 wickets,Rawalpindi,11-Feb-06
ODI # 2328,Australia,Sri Lanka,Australia,167 runs,Sydney,12-Feb-06
ODI # 2329,Pakistan,India,India,5 wickets,Lahore,13-Feb-06
ODI # 2330,Australia,Sri Lanka,Australia,9 wickets,Brisbane,14-Feb-06
ODI # 2331,Pakistan,India,India,5 wickets,Multan,16-Feb-06
ODI # 2332,New Zealand,West Indies,New Zealand,81 runs,Wellington,18-Feb-06
ODI # 2333,Pakistan,India,India,8 wickets,Karachi,19-Feb-06
ODI # 2334,Bangladesh,Sri Lanka,Sri Lanka,5 wickets,Bogra,20-Feb-06
ODI # 2335,New Zealand,West Indies,New Zealand,3 wickets,Queenstown,22-Feb-06
ODI # 2336,Bangladesh,Sri Lanka,Bangladesh,4 wickets,Bogra,22-Feb-06
ODI # 2337,New Zealand,West Indies,New Zealand,21 runs,Christchurch,25-Feb-06
ODI # 2338,Bangladesh,Sri Lanka,Sri Lanka,78 runs,Chittagong,25-Feb-06
ODI # 2339,Zimbabwe,Kenya,Zimbabwe,8 wickets,Bulawayo,25-Feb-06
ODI # 2340,Zimbabwe,Kenya,Kenya,79 runs,Bulawayo,26-Feb-06
ODI # 2341,South Africa,Australia,South Africa,6 wickets,Centurion,26-Feb-06
ODI # 2342,New Zealand,West Indies,New Zealand,91 runs,Napier,01-Mar-06
ODI # 2343,Zimbabwe,Kenya,Kenya,65 runs,Harare,01-Mar-06
ODI # 2344,Zimbabwe,Kenya,Zimbabwe,109 runs,Harare,03-Mar-06
ODI # 2345,South Africa,Australia,South Africa,196 runs,Cape Town,03-Mar-06
ODI # 2346,New Zealand,West Indies,West Indies,3 wickets,Auckland,04-Mar-06
ODI # 2347,South Africa,Australia,Australia,24 runs,Port Elizabeth,05-Mar-06
ODI # 2348,South Africa,Australia,Australia,1 wicket,Durban,10-Mar-06
ODI # 2349,South Africa,Australia,South Africa,1 wicket,Johannesburg,12-Mar-06
ODI # 2350,Bangladesh,Kenya,Bangladesh,131 runs,Bogra,17-Mar-06
ODI # 2351,Sri Lanka,Pakistan,no result,,Colombo (RPS),17-Mar-06
ODI # 2352,Sri Lanka,Pakistan,Pakistan,4 wickets,Colombo (RPS),19-Mar-06
ODI # 2353,Bangladesh,Kenya,Bangladesh,9 wickets,Khulna,20-Mar-06
ODI # 2354,Sri Lanka,Pakistan,Pakistan,4 wickets,Colombo (SSC),22-Mar-06
ODI # 2355,Bangladesh,Kenya,Bangladesh,20 runs,Fatullah,23-Mar-06
ODI # 2356,Bangladesh,Kenya,Bangladesh,7 wickets,Fatullah,25-Mar-06
ODI # 2357,India,England,India,39 runs,Delhi,28-Mar-06
ODI # 2358,India,England,India,4 wickets,Faridabad,31-Mar-06
ODI # 2359,India,England,India,49 runs,Margao,03-Apr-06
ODI # 2360,India,England,India,4 wickets,Kochi,06-Apr-06
ODI # 2361,India,England,England,5 wickets,Jamshedpur,12-Apr-06
ODI # 2362,India,England,India,7 wickets,Indore,15-Apr-06
ODI # 2363,India,Pakistan,Pakistan,6 wickets,Abu Dhabi,18-Apr-06
ODI # 2364,India,Pakistan,India,51 runs,Abu Dhabi,19-Apr-06
ODI # 2365,Bangladesh,Australia,Australia,4 wickets,Chittagong,23-Apr-06
ODI # 2366,Bangladesh,Australia,Australia,67 runs,Fatullah,26-Apr-06
ODI # 2367,Bangladesh,Australia,Australia,9 wickets,Fatullah,28-Apr-06
ODI # 2368,West Indies,Zimbabwe,West Indies,5 wickets,St John's,29-Apr-06
ODI # 2369,West Indies,Zimbabwe,West Indies,98 runs,St John's,30-Apr-06
ODI # 2370,West Indies,Zimbabwe,West Indies,82 runs,Georgetown,07-May-06
ODI # 2371,West Indies,Zimbabwe,West Indies,10 wickets,Gros Islet,10-May-06
ODI # 2372,West Indies,Zimbabwe,no result,,Port of Spain,13-May-06
ODI # 2373,West Indies,Zimbabwe,West Indies,104 runs,Port of Spain,14-May-06
ODI # 2374,Canada,Zimbabwe,Zimbabwe,143 runs,Port of Spain,16-May-06
ODI # 2375,Bermuda,Canada,Bermuda,3 wickets,Port of Spain,17-May-06
